 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing      
 4.82580000000000E-0001  3.52646162094546E+0002  7.06106754768706E+0001  4.21801750250311E+0002  4.20121559590508E+0002 
 4.90240000000000E-0001  3.52844179807368E+0002  7.04830779209981E+0001  4.21797954134522E+0002  4.20115142147663E+0002 
 4.97900000000000E-0001  3.53035072041639E+0002  7.03637840129459E+0001  4.21794049398611E+0002  4.20108556542424E+0002 
 5.05560000000000E-0001  3.53217335640416E+0002  7.02538366567774E+0001  4.21790032732132E+0002  4.20101798385178E+0002 
 5.13220000000000E-0001  3.53386687738728E+0002  7.01569647073346E+0001  4.21785900662797E+0002  4.20094863086120E+0002 
 5.20880000000000E-0001  3.53543081318751E+0002  7.00730049373209E+0001  4.21781649546679E+0002  4.20087745843869E+0002 
 5.28540000000000E-0001  3.53686724283552E+0002  7.00015901108341E+0001  4.21777275557663E+0002  4.20080441633257E+0002 
 5.36200000000000E-0001  3.53817838830732E+0002  6.99423734737444E+0001  4.21772774676068E+0002  4.20072945192170E+0002 
 5.43860000000000E-0001  3.53936660876719E+0002  6.98950292579098E+0001  4.21768142676358E+0002  4.20065251007395E+0002 
 5.51520000000000E-0001  3.54043439472750E+0002  6.98592530616583E+0001  4.21763375113858E+0002  4.20057353299352E+0002 
 5.59180000000000E-0001  3.54138436213795E+0002  6.98347621071869E+0001  4.21758467310372E+0002  4.20049246005615E+0002 
 5.66840000000000E-0001  3.54221924641629E+0002  6.98212953765945E+0001  4.21753414338604E+0002  4.20040922763102E+0002 
 5.74500000000000E-0001  3.54294189643200E+0002  6.98186136292757E+0001  4.21748211005249E+0002  4.20032376888815E+0002 
 5.82160000000000E-0001  3.54355526845407E+0002  6.98264993043322E+0001  4.21742851832621E+0002  4.20023601358950E+0002 
 5.89820000000000E-0001  3.54406242007345E+0002  6.98447563125022E+0001  4.21737331038668E+0002  4.20014588786258E+0002 
 5.97480000000000E-0001  3.54446650410998E+0002  6.98732097228659E+0001  4.21731642515192E+0002  4.20005331395431E+0002 
 6.05140000000000E-0001  3.54477656712450E+0002  6.99117053502333E+0001  4.21725779804089E+0002  4.19995820996324E+0002 
